odfw_raw,name,lat,lon,acres,amenities,species,has_camping,coord_note
HAT ROCK PD,Hat Rock Pond,45.91521,-119.17248,6,camping,rainbow,True,
HEART LK,Heart Lake,42.25526,-120.83886,19,boat_ramp+restroom+camping+no_motors,rainbow+brown+kokanee+catfish+bullhead+brook,True,
HEBO LK,Hebo Lake,45.23132,-123.79716,,accessible+restroom+camping+bank_access+no_motors,rainbow,True,
HEMLOCK LK (HEMLOCK MEADOW RES),Hemlock Lake,43.1883,-122.69807,,boat_ramp+camping+no_motors,rainbow+kokanee,True,
HIGHWAY 203 PD,Highway 203 Pond,44.86084,-117.81352,10,,rainbow+bluegill,False,
HOLBROOK RES,Holbrook Reservoir,42.26557,-120.85319,40,boat_ramp+camping,rainbow+brook,True,
HONEYMOON PD,Honeymoon Pond,45.81199,-116.9432,,accessible,rainbow,False,
HOSMER LK,Hosmer Lake,43.96348,-121.78559,112,no_motors,rainbow+brook+cutthroat,False,
HOWARD PRAIRIE RES,Howard Prairie Reservoir,42.24013,-122.41051,1990,,rainbow,False,
HUDDLESTON PD (FMR HAMPTON PD),Huddleston Pond,45.07932,-123.47831,5,accessible+restroom+parking+no_motors,rainbow+bluegill,False,
HUNTER PD (STARKEY FOREST PDS),Hunter Pond,45.15097,-118.54442,,camping,rainbow,True,
HYATT RES,Hyatt Reservoir,42.17314,-122.46829,950,boat_ramp+camping,rainbow+brown+largemouth+crappie+bluegill+bullhead,True,
JUBILEE LK,Jubilee Lake,45.83086,-117.9654,97,boat_ramp+accessible+camping+bank_access+no_motors,rainbow,True,
JUNCTION CITY PD,Junction City Pond,44.18039,-123.20418,8,,rainbow,False,
KINNEY LK,Kinney Lake,45.31383,-117.10233,20,camping+parking,rainbow,True,
KRUMBO RES,Krumbo Reservoir,42.951,-118.80723,150,dock+accessible,rainbow,False,
LAKE IN THE WOODS,Lake in the Woods,43.21707,-122.72521,4,,rainbow,False,
LAKE MARIE,Lake Marie,43.66011,-124.19286,5,boat_ramp+camping,rainbow+largemouth+perch,True,
LAKE OF THE WOODS,Lake of the Woods,44.58829,-121.83852,,boat_ramp+dock+accessible+restroom+camping,rainbow+brook+brown+kokanee+largemouth+smallmouth+crappie+bullhead+perch,True,
LAURANCE LK,Laurance Lake,45.45999,-121.65738,104,boat_ramp+camping,rainbow+brown+cutthroat,True,
"LAVA LK, B",Big Lava Lake,43.91459,-121.76778,160,boat_ramp+camping,rainbow+brook,True,
LEABURG LK,Leaburg Lake,44.13947,-122.60931,55,,rainbow,False,
LEMOLO RES,Lemolo Reservoir,43.31437,-122.19346,415,boat_ramp+camping,rainbow+brown+kokanee,True,
LOFTON RES,Lofton Reservoir,42.26088,-120.81856,42,restroom+camping,rainbow+brown,True,
LOON LK,Loon Lake,43.59637,-123.84708,294,boat_ramp+camping,rainbow+brown+cutthroat+largemouth+crappie+bluegill+bullhead,True,
LOREN'S PD,Loren's Pond,45.43462,-123.73846,,boat_ramp,rainbow+steelhead,False,
LOST CREEK RES,Lost Creek Reservoir,42.68417,-122.61976,3500,boat_ramp+camping,rainbow+brown+cutthroat+largemouth+smallmouth+crappie+bluegill+bullhead,True,
LUGER PD,Luger Pond,45.77011,-117.95771,5,camping,rainbow,True,
LYTLE LK,Lake Lytle,45.62739,-123.9387,65,boat_ramp,rainbow+largemouth+perch+steelhead,False,
MAGONE LK,Magone Lake,44.54911,-118.91272,50,dock+accessible+restroom+camping,rainbow+brook,True,
MARR PD,Marr Pond,45.42046,-117.29287,2,bank_access,rainbow+steelhead,False,
MCGRAW PD,McGraw Pond,45.16662,-116.84074,,accessible+camping,rainbow,True,
MEDCO PD,Medco Pond,42.65599,-122.43812,25,,rainbow+largemouth+bluegill,False,
MERCER LK,Mercer Lake,44.04978,-124.05839,,accessible,rainbow+largemouth+bluegill+perch,False,
MILLER LK,Miller Lake,43.22706,-121.9665,600,restroom+camping,rainbow+brook+brown+kokanee,True,
MORGAN LK,Morgan Lake,45.30241,-118.13762,60,boat_ramp+accessible+no_motors,rainbow+crappie,False,
MT HOOD PD (MHCC CAMPUS),Mt. Hood Pond,45.51329,-122.39774,5,,rainbow,False,
MUNSEL LK,Munsel Lake,44.00627,-124.08807,104,,rainbow+cutthroat+largemouth+bluegill+perch,False,
MURRAY RES (FMR HARDY MURRAY RES),Murray Reservoir,44.35354,-118.10583,45,,rainbow,False,
NEDONNA PD,Nedonna Pond,45.64376,-123.93872,,,rainbow,False,
NORTH FORK RES,North Fork Reservoir,45.23794,-122.25856,350,dock+accessible+parking+boat_ramp+camping,rainbow+steelhead,True,
NORTH LK,North Lake,45.21521,-123.7203,,camping,rainbow,True,
OCHOCO RES,Ochoco Reservoir,43.84245,-120.57495,1100,boat_ramp+restroom+camping,rainbow+brown+smallmouth+crappie+bullhead,True,
OLALLA CR RES,Olalla Creek Reservoir,44.68129,-123.92825,120,,rainbow+cutthroat,False,
OLALLIE LK,Olallie Lake,44.85198,-121.745,,boat_ramp+camping,rainbow,True,
PAULINA LK,Paulina Lake,43.71278,-121.27331,1520,boat_ramp+camping,rainbow+brown+kokanee,True,
PENLAND LK,Penland Lake,45.12087,-119.31582,67,boat_ramp+camping+bank_access+no_motors,,True,
PERKINS LK,Perkins Lake,43.82635,-124.14934,5,,rainbow,False,
PILCHER CREEK RES,Pilcher Creek Reservoir,45.04067,-118.07799,140,boat_ramp+camping,crappie+catfish+bullhead,True,
PINE HOLLOW RES,Pine Hollow Reservoir,45.24235,-121.29219,240,boat_ramp+bank_access,rainbow+brown+largemouth+bluegill+bullhead,False,
PLAT I RES,Plat I Reservoir,43.39578,-123.25202,155,,rainbow+brown+largemouth+crappie+bullhead,False,
POISON CREEK RES.,Poison Creek Reservoir,44.01313,-118.91477,,,rainbow,False,
POWERS PD,Powers Pond,42.89236,-124.07744,23,,rainbow+brown+largemouth+crappie+bluegill+bullhead,False,
PRIDAY RES,Priday Reservoir,42.34047,-119.90242,210,,rainbow+brown+crappie+catfish+bullhead,False,
PROGRESS LK,Progress Lake,45.42897,-122.83179,10,,rainbow+brown+bullhead,False,
QUARTZVILLE CR,Quartzville Creek,44.57644,-122.3212,,camping,rainbow+brook,True,
ROARING RVR PARK PD,Roaring River Park Pond,44.62448,-122.71712,,,,False,
ROCK CREEK RES,Rock Creek Reservoir,45.22044,-121.39111,100,bank_access,rainbow+brown+largemouth+bluegill+bullhead,False,
ROGUE R above Lost Creek,Rogue River above Lost Creek,42.90539,-122.46104,,camping,rainbow+brook+brown+cutthroat,True,
ROULET PD,Roulet Pond,45.58822,-117.86147,,,rainbow,False,
"SALISH PD, W",Salish Pond West,45.52983,-122.44971,70,dock+accessible+restroom,rainbow+crappie+catfish,False,
SALMONBERRY LK,Salmonberry Lake,45.88768,-122.93555,,,rainbow,False,
SALT CR SUMMIT PD,Salt Creek Summit Pond,45.20946,-117.06371,,accessible,rainbow,False,
SAUNDERS LK,Saunders Lake,43.53408,-124.21962,55,boat_ramp+camping+bank_access,rainbow+largemouth+perch,True,
